Index,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,busselton,0,AU,1551647111,42,-33.64,115.35,64.99,19.95
1,yellowknife,20,CA,1551647086,42,62.45,-114.38,10.0,4.7
2,cape town,0,ZA,1551647176,93,-33.93,18.42,68.0,4.7
3,albany,75,US,1551647225,44,42.65,-73.75,39.99,4.7
4,san patricio,0,PY,1551647029,54,-26.98,-56.83,89.86,2.51
5,new norfolk,0,AU,1551646885,71,-42.78,147.06,57.2,8.05
6,amahai,12,ID,1551647222,92,-3.31,129.0,79.0,6.2
7,tabou,0,CI,1551647226,94,4.42,-7.36,84.19,8.77
8,jamestown,64,AU,1551647226,84,-33.21,138.6,66.78,3.96
9,kapaa,90,US,1551647009,64,22.08,-159.32,73.4,17.22
10,kaitangata,0,NZ,1551647227,78,-46.28,169.85,58.68,4.52
11,xacmaz,32,AZ,1551647227,100,41.46,48.81,27.81,2.28
12,nikolskoye,75,RU,1551646811,85,59.7,30.79,19.0,2.24
13,rikitea,56,PF,1551646995,100,-23.12,-134.97,79.42,12.57
14,tuktoyaktuk,90,CA,1551643200,85,69.44,-133.03,14.0,25.28
15,mogadishu,36,SO,1551647048,100,2.04,45.34,79.38,11.9
16,ahipara,24,NZ,1551647220,100,-35.17,173.16,66.99,1.01
17,portland,1,US,1551647077,30,45.52,-122.67,43.0,23.04
18,barrow,44,AR,1551647053,40,-38.31,-60.23,79.38,14.03
19,castro,90,CL,1551643200,100,-42.48,-73.76,53.6,6.93
20,davidson,90,US,1551647224,93,35.5,-80.85,53.01,9.17
21,mahebourg,40,MU,1551647046,83,-20.41,57.7,81.0,6.93
22,hofn,88,IS,1551647229,100,64.25,-15.21,36.81,38.86
23,alofi,40,NU,1551643200,88,-19.06,-169.92,80.6,5.82
24,mayumba,76,GA,1551647229,98,-3.44,10.65,79.74,5.41
25,hilo,90,US,1551646957,73,19.71,-155.08,73.0,12.75
26,vaini,0,IN,1551647229,86,15.34,74.49,60.39,1.39
27,chuy,0,UY,1551647022,68,-33.69,-53.46,73.08,10.0
28,hatillo,90,PR,1551647146,73,18.49,-66.83,82.0,10.29
29,georgetown,75,GY,1551643200,78,6.8,-58.16,84.2,11.41
30,ushuaia,75,AR,1551643200,47,-54.81,-68.31,55.4,12.46
31,fairbanks,90,US,1551646897,92,64.84,-147.72,24.01,3.74
32,thompson,90,CA,1551643200,65,55.74,-97.86,5.0,16.11
33,punta arenas,20,CL,1551646386,43,-53.16,-70.91,55.4,23.04
34,carnarvon,0,ZA,1551647125,39,-30.97,22.13,65.83,7.76
35,laguna,5,MX,1551642000,23,27.52,-110.01,86.0,10.29
36,pontianak,56,ID,1551647231,99,-0.02,109.34,76.27,4.74
37,bredasdorp,0,ZA,1551646811,82,-34.53,20.04,60.8,3.36
38,hobyo,76,SO,1551647079,90,5.35,48.53,76.9,10.11
39,lebu,12,ET,1551647231,73,8.96,38.73,53.73,4.52
40,vestmannaeyjar,92,IS,1551647232,96,63.44,-20.27,38.83,13.13
41,inirida,20,CO,1551647232,74,3.87,-67.92,84.55,2.84
42,dikson,56,RU,1551647051,100,73.51,80.55,-6.13,26.44
43,chokurdakh,36,RU,1551646995,62,70.62,147.9,-13.33,6.2
44,fershampenuaz,44,RU,1551647232,82,53.52,59.82,17.59,14.03
45,clyde river,20,CA,1551643200,83,70.47,-68.59,-5.81,5.82
46,cidreira,8,BR,1551647030,69,-30.17,-50.22,78.07,10.56
47,airai,32,TL,1551647233,92,-8.93,125.41,67.9,0.38
48,avera,75,US,1551647179,78,33.19,-82.53,73.4,9.17
49,mataura,0,NZ,1551646810,80,-46.19,168.86,57.99,3.0
50,guaraniacu,0,BR,1551647233,49,-25.1,-52.88,83.65,2.39
51,amuntai,8,ID,1551647233,95,-2.42,115.25,72.58,1.83
52,hamilton,90,CA,1551647104,58,43.26,-79.87,30.0,5.82
53,tasiilaq,80,GL,1551642600,73,65.61,-37.64,23.0,23.04
54,rantepao,92,ID,1551647234,98,-2.97,119.9,69.16,2.06
55,katsuura,90,JP,1551646482,100,33.93,134.5,48.99,4.7
56,north bend,1,US,1551647120,61,43.41,-124.22,52.0,8.05
57,saskylakh,36,RU,1551647235,38,71.97,114.09,-25.57,3.51
58,half moon bay,90,US,1551647223,93,37.46,-122.43,60.8,10.29
59,cayenne,80,GF,1551645000,83,4.94,-52.33,77.0,4.7
60,aksu,0,KZ,1551645000,80,52.04,76.93,33.8,20.13
61,strelka,56,RU,1551647236,83,58.08,93.03,20.65,7.99
62,ilulissat,76,GL,1551642600,78,69.22,-51.1,17.6,2.73
63,la ronge,90,CA,1551643200,60,55.1,-105.3,6.8,13.87
64,zonguldak,20,TR,1551647237,97,41.25,31.83,33.21,3.29
65,bambous virieux,40,MU,1551647046,83,-20.34,57.76,81.0,6.93
66,paamiut,0,GL,1551647040,100,61.99,-49.67,25.83,11.79
67,san jose,36,PH,1551647165,92,15.79,120.99,64.44,1.95
68,mangalia,0,RO,1551647131,86,43.8,28.58,37.0,8.05
69,saldanha,44,PT,1551647239,69,41.42,-6.55,53.05,15.26
70,kiunga,92,PG,1551647239,94,-6.12,141.3,74.88,1.39
71,avarua,0,CK,1551645000,66,-21.21,-159.78,84.2,6.93
72,xiongyue,0,CN,1551647239,62,40.18,122.12,27.76,5.97
73,barkhan,92,PK,1551647239,82,29.9,69.52,43.11,2.62
74,belen,75,TR,1551647074,100,36.49,36.19,50.0,1.12
75,bara,0,NG,1551646950,34,10.41,10.6,80.5,6.08
76,atuona,92,PF,1551647021,100,-9.8,-139.03,80.28,12.35
77,brownsville,90,US,1551647123,88,25.91,-97.49,84.2,20.8
78,puerto ayora,20,EC,1551643200,66,-0.74,-90.35,87.8,13.87
79,road town,40,VG,1551647107,65,18.42,-64.62,80.6,11.41
80,faya,0,SA,1551643200,62,18.39,42.45,57.2,10.29
81,port alfred,0,ZA,1551646824,88,-33.59,26.89,69.01,13.47
82,san sebastian,36,PH,1551647242,100,11.71,125.02,71.73,3.06
83,tiksi,56,RU,1551647024,70,71.64,128.87,-5.95,8.66
84,praya,20,ID,1551646800,100,-8.71,116.27,75.2,1.12
85,marquette,40,US,1551646981,42,46.54,-87.4,9.0,5.82
86,lompoc,90,US,1551647046,72,34.64,-120.46,62.6,9.17
87,bereda,75,ES,1551647043,82,43.27,-7.54,57.0,14.99
88,ponta do sol,92,BR,1551647243,88,-20.63,-46.0,70.15,3.85
89,chaman,64,AF,1551647243,90,30.92,66.46,38.56,2.39
90,requena,0,ES,1551647223,42,39.49,-1.1,66.0,4.7
91,mar del plata,32,AR,1551647038,41,-46.43,-67.52,63.94,23.09
92,ugoofaaru,92,MV,1551647244,99,5.67,73.0,82.89,10.11
93,simao,12,CN,1551647244,72,22.76,100.79,48.69,2.28
94,whitehorse,20,CA,1551647086,47,60.72,-135.06,16.0,10.29
95,codrington,90,AU,1551646902,100,-28.95,153.24,68.0,4.07
96,pisco,40,PE,1551643200,30,-13.71,-76.2,71.6,10.29
97,mount vernon,90,US,1551647244,55,40.91,-73.84,41.0,8.05
98,deputatskiy,0,RU,1551647245,0,69.3,139.9,-37.04,2.73
99,teacapan,0,MX,1551647245,35,22.54,-105.74,86.04,3.4
100,acapulco,5,MX,1551642600,70,16.86,-99.88,84.2,10.29
101,narsaq,44,GL,1551642600,68,60.91,-46.05,32.0,3.36
102,cockburn town,0,TC,1551647246,96,21.46,-71.14,78.43,16.82
103,smithers,5,CA,1551643200,46,54.78,-127.17,6.8,5.82
104,srednekolymsk,20,RU,1551647246,34,67.46,153.71,-23.09,2.39
105,east london,8,ZA,1551647215,100,-33.02,27.91,74.92,20.29
106,pevek,64,RU,1551647018,83,69.7,170.27,-2.35,8.43
107,necochea,48,AR,1551647046,42,-38.55,-58.74,79.0,1.01
108,vardo,90,US,1551647117,80,39.62,-77.74,34.0,6.93
109,khorixas,0,NA,1551647248,48,-20.37,14.96,68.17,4.52
110,sayaxche,44,GT,1551647248,40,16.52,-90.17,93.96,5.64
111,salalah,20,OM,1551642600,65,17.01,54.1,77.0,2.24
